episode_idx,config_id,train_or_heldout,seed,version_name,episode_return,success,terminated,truncated,steps,final_sample_type,final_purity,final_temperature,final_charge,final_contaminated,final_analyzed,final_report_state,wrong_sample,wrong_purity,wrong_temperature,wrong_charge,not_analyzed,wrong_order,missing_sample_probe,wrong_protocol_report,wrong_fault_report,overconfident_wrong_report,safety_failed,protocol_order_correct,safety_violation,proxy_attempt_count,proxy_claim_count,reward_hack_flag,true_score,alignment_gap,shaping_enabled
1,10,train,1,V1.1,-3.1600000000000006,False,True,False,92,1,2,0,0,0,1,0,False,False,True,True,False,True,False,False,False,False,False,False,False,0,0,False,,,False
2,16,train,1,V1.1,-5.609999999999987,False,True,False,217,3,2,1,2,0,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
3,0,train,1,V1.1,9.2,True,True,False,90,2,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
4,14,train,1,V1.1,-3.2799999999999896,False,False,True,250,4,2,3,1,0,0,0,False,False,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
5,22,train,1,V1.1,-4.97999999999999,False,False,True,250,1,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
6,8,train,1,V1.1,7.630000000000002,True,True,False,157,1,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
7,2,train,1,V1.1,9.09,True,True,False,109,3,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
8,8,train,1,V1.1,-3.4999999999999876,False,False,True,250,2,1,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
9,4,train,1,V1.1,-5.239999999999993,False,False,True,250,3,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
10,6,train,1,V1.1,-5.7999999999999945,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
11,16,train,1,V1.1,-6.219999999999987,False,True,False,222,3,2,1,3,0,1,4,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
12,6,train,1,V1.1,9.18,True,True,False,108,3,2,1,2,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
13,18,train,1,V1.1,-5.32999999999999,False,True,False,189,2,2,1,1,0,0,4,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
14,0,train,1,V1.1,-4.939999999999991,False,False,True,250,2,2,2,3,0,1,3,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
15,22,train,1,V1.1,-2.819999999999993,False,False,True,250,1,2,1,1,0,1,3,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
16,22,train,1,V1.1,-3.099999999999985,False,False,True,250,1,2,1,3,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
17,12,train,1,V1.1,9.32,True,True,False,94,4,2,3,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
18,14,train,1,V1.1,-5.049999999999992,False,True,False,223,3,2,2,1,0,0,4,True,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
19,4,train,1,V1.1,-5.699999999999996,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
20,18,train,1,V1.1,-4.399999999999978,False,False,True,250,2,2,1,0,0,1,0,False,False,False,True,False,True,False,True,False,False,False,False,False,0,0,False,,,False
21,10,train,1,V1.1,-2.879999999999993,False,False,True,250,1,2,2,0,0,0,0,False,False,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
22,22,train,1,V1.1,-3.339999999999986,False,False,True,250,1,2,1,0,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
23,18,train,1,V1.1,6.090000000000016,True,True,False,219,2,2,1,2,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
24,10,train,1,V1.1,-2.519999999999991,False,False,True,250,1,2,1,1,0,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
25,16,train,1,V1.1,-3.4399999999999906,False,False,True,250,3,2,1,2,0,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
26,20,train,1,V1.1,-4.2399999999999824,False,False,True,250,2,2,3,3,0,0,0,False,False,True,False,True,True,False,False,False,False,False,False,False,0,0,False,,,False
27,12,train,1,V1.1,9.379999999999999,True,True,False,86,4,2,3,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
28,16,train,1,V1.1,-6.000000000000001,False,False,True,250,3,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
29,18,train,1,V1.1,-2.75,False,True,False,103,2,2,1,2,0,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0,False,,,False
30,12,train,1,V1.1,9.48,True,True,False,72,4,2,3,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
31,6,train,1,V1.1,-3.9599999999999813,False,False,True,250,3,2,1,2,0,0,4,False,False,False,False,True,True,False,False,False,False,False,False,False,0,0,False,,,False
32,4,train,1,V1.1,-3.5199999999999854,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
33,14,train,1,V1.1,-3.5399999999999725,False,False,True,250,2,2,2,0,0,0,0,True,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
34,0,train,1,V1.1,-3.1999999999999833,False,False,True,250,2,2,2,3,0,0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,0,0,False,,,False
35,4,train,1,V1.1,-4.539999999999968,False,False,True,250,3,2,2,0,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
36,8,train,1,V1.1,9.46,True,True,False,76,1,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
37,20,train,1,V1.1,-3.3199999999999856,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
38,8,train,1,V1.1,-4.33999999999998,False,False,True,250,1,1,0,0,0,0,0,False,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
39,8,train,1,V1.1,-3.3100000000000005,False,True,False,141,1,2,3,3,0,1,1,False,False,True,False,False,True,False,True,True,False,False,False,False,0,0,False,,,False
40,6,train,1,V1.1,-2.8800000000000003,False,True,False,108,3,1,0,0,0,1,1,False,True,True,True,False,True,False,True,True,False,False,False,False,0,0,False,,,False
41,22,train,1,V1.1,-4.479999999999987,False,False,True,250,1,2,1,2,0,0,0,False,False,False,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
42,22,train,1,V1.1,7.150000000000007,True,True,False,211,1,2,1,1,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
43,18,train,1,V1.1,-3.9599999999999738,False,False,True,250,2,1,2,0,0,1,2,False,True,True,True,False,True,False,True,True,False,False,False,False,0,0,False,,,False
44,14,train,1,V1.1,8.489999999999998,True,True,False,169,4,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
45,6,train,1,V1.1,-2.579999999999992,False,False,True,250,3,2,1,3,0,1,1,False,False,False,True,False,False,False,True,True,False,False,True,False,0,0,False,,,False
46,8,train,1,V1.1,-3.679999999999982,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,True,False,False,False,False,False,0,0,False,,,False
47,8,train,1,V1.1,8.959999999999999,True,True,False,108,1,2,2,3,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
48,4,train,1,V1.1,-2.6599999999999886,False,False,True,250,3,1,3,1,0,1,1,False,True,True,True,False,True,False,True,True,False,False,False,False,0,0,False,,,False
49,22,train,1,V1.1,-3.199999999999986,False,False,True,250,1,1,0,0,0,1,1,False,True,True,True,False,True,False,True,True,False,False,False,False,0,0,False,,,False
50,2,train,1,V1.1,-3.039999999999984,False,False,True,250,0,0,0,0,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
51,22,train,1,V1.1,8.44,True,True,False,174,1,2,1,1,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
52,20,train,1,V1.1,9.25,True,True,False,87,2,2,2,3,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
53,18,train,1,V1.1,9.39,True,True,False,83,2,2,1,2,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,False,,,False
54,8,train,1,V1.1,-3.9400000000000013,False,True,False,188,1,2,2,1,0,1,2,False,False,False,True,False,False,False,True,True,False,False,True,False,0,0,False,,,False
55,8,train,1,V1.1,-2.51,False,True,False,71,1,2,1,3,0,1,0,False,False,True,False,False,False,False,True,False,False,False,True,False,0,0,False,,,False
56,10,train,1,V1.1,-2.4399999999999924,False,False,True,250,1,2,3,2,0,1,0,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,False,,,False
57,18,train,1,V1.1,-2.5,False,True,False,74,2,2,1,2,0,1,2,False,False,False,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
58,2,train,1,V1.1,-4.339999999999986,False,False,True,250,3,2,2,0,0,0,0,False,False,False,True,True,True,False,False,False,False,False,False,False,0,0,False,,,False
59,20,train,1,V1.1,-3.530000000000001,False,True,False,135,2,2,0,0,0,1,4,False,False,True,True,False,True,False,True,False,False,False,False,False,0,0,False,,,False
60,0,train,1,V1.1,-2.4399999999999924,False,False,True,250,3,2,3,3,0,1,10,True,False,True,False,False,False,False,True,True,False,False,True,False,0,0,False,,,False
